TITLE     = "Surface"
VARIABLES = "X"
"cp"
ZONE T="Slice: Y=0.631667"
 STRANDID=2, SOLUTIONTIME=664.516175
 I=797, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 4.880988300E-01 -2.855997086E-01
 4.874371886E-01 -2.862485349E-01
 4.830737114E-01 -2.904595733E-01
 4.824120700E-01 -2.910992801E-01
 4.780485630E-01 -2.952064574E-01
 4.773869216E-01 -2.958339751E-01
 4.730234444E-01 -3.002341390E-01
 4.723618031E-01 -3.009043038E-01
 4.679983258E-01 -3.051229417E-01
 4.673366845E-01 -3.057597876E-01
 4.629732072E-01 -3.101346195E-01
 4.623115659E-01 -3.107989728E-01
 4.579480588E-01 -3.153421879E-01
 4.572864175E-01 -3.160342574E-01
 4.529229403E-01 -3.205327988E-01
 4.522612989E-01 -3.212189376E-01
 4.478978217E-01 -3.261668682E-01
 4.472361803E-01 -3.269164860E-01
 4.428727031E-01 -3.314164579E-01
 4.422110617E-01 -3.320968449E-01
 4.378475845E-01 -3.369004130E-01
 4.371859431E-01 -3.376308382E-01
 4.328224361E-01 -3.423373997E-01
 4.321607947E-01 -3.430557549E-01
 4.277973175E-01 -3.478379250E-01
 4.271356761E-01 -3.485661447E-01
 4.227721989E-01 -3.535731435E-01
 4.221105576E-01 -3.543318510E-01
 4.177470803E-01 -3.591510952E-01
 4.170854390E-01 -3.598787189E-01
 4.127219319E-01 -3.649387360E-01
 4.120602906E-01 -3.657085896E-01
 4.076968133E-01 -3.709684610E-01
 4.070351720E-01 -3.717694283E-01
 4.026716948E-01 -3.769424558E-01
 4.020100534E-01 -3.777310252E-01
 3.976465762E-01 -3.827750385E-01
 3.969849348E-01 -3.835423291E-01
 3.926214278E-01 -3.890191615E-01
 3.919597864E-01 -3.898483813E-01
 3.875963092E-01 -3.949047625E-01
 3.869346678E-01 -3.956692815E-01
 3.825711906E-01 -4.007272124E-01
 3.819095492E-01 -4.014967084E-01
 3.775460720E-01 -4.074075222E-01
 3.768844306E-01 -4.083044231E-01
 3.725209236E-01 -4.140090942E-01
 3.718592823E-01 -4.148778915E-01
 3.674958050E-01 -4.202422202E-01
 3.668341637E-01 -4.210595787E-01
 3.624706864E-01 -4.262761772E-01
 3.618090451E-01 -4.270692766E-01
 3.574455678E-01 -4.334548414E-01
 3.567839265E-01 -4.344249368E-01
 3.524204493E-01 -4.405471385E-01
 3.517588079E-01 -4.414753020E-01
 3.473953009E-01 -4.476606250E-01
 3.467336595E-01 -4.485957623E-01
 3.423701823E-01 -4.547370672E-01
 3.417085409E-01 -4.556689560E-01
 3.373450637E-01 -4.611845613E-01
 3.366834223E-01 -4.620232284E-01
 3.323199451E-01 -4.676823318E-01
 3.316583037E-01 -4.685423970E-01
 3.272947967E-01 -4.753410518E-01
 3.266331553E-01 -4.763717055E-01
 3.222696781E-01 -4.830081463E-01
 3.216080368E-01 -4.840163291E-01
 3.172445595E-01 -4.905761778E-01
 3.165829182E-01 -4.915727973E-01
 3.122194409E-01 -4.981838763E-01
 3.115577996E-01 -4.991881847E-01
 3.071942925E-01 -5.059436560E-01
 3.065326512E-01 -5.069699287E-01
 3.021691740E-01 -5.136151314E-01
 3.015075326E-01 -5.146244764E-01
 2.971440554E-01 -5.211887360E-01
 2.964824140E-01 -5.221857429E-01
 2.921189368E-01 -5.286735892E-01
 2.914572954E-01 -5.296589732E-01
 2.870937884E-01 -5.364000797E-01
 2.864321470E-01 -5.374237299E-01
 2.820686698E-01 -5.444864631E-01
 2.814070284E-01 -5.455586314E-01
 2.770435512E-01 -5.523773432E-01
 2.763819098E-01 -5.534124374E-01
 2.720184326E-01 -5.599069595E-01
 2.713567913E-01 -5.608928204E-01
 2.669933140E-01 -5.647907853E-01
 2.663316727E-01 -5.653827190E-01
 2.619681656E-01 -5.748588443E-01
 2.613065243E-01 -5.762960315E-01
 2.569430470E-01 -5.909718871E-01
 2.562814057E-01 -5.932006240E-01
 2.519179285E-01 -5.992589593E-01
 2.512562871E-01 -6.001793742E-01
 2.468927950E-01 -6.067751646E-01
 2.462311536E-01 -6.077814698E-01
 2.418676764E-01 -6.126662493E-01
 2.412060350E-01 -6.134116054E-01
 2.368425429E-01 -6.231025457E-01
 2.361809015E-01 -6.245740056E-01
 2.318174243E-01 -6.385978460E-01
 2.311557829E-01 -6.407231688E-01
 2.267922908E-01 -6.467900276E-01
 2.261306494E-01 -6.477088332E-01
 2.217671722E-01 -6.575292945E-01
 2.211055309E-01 -6.590176821E-01
 2.167420387E-01 -6.705334187E-01
 2.160803974E-01 -6.722809076E-01
 2.117169201E-01 -6.771308780E-01
 2.110552788E-01 -6.778734922E-01
 2.066917866E-01 -6.875729561E-01
 2.060301453E-01 -6.890485287E-01
 2.016666681E-01 -7.022048831E-01
 2.010050267E-01 -7.041975260E-01
 1.966415346E-01 -7.144721746E-01
 1.959798932E-01 -7.160287499E-01
 1.916164160E-01 -7.269862294E-01
 1.909547746E-01 -7.286508083E-01
 1.865912825E-01 -7.389779687E-01
 1.859296411E-01 -7.405517101E-01
 1.815661639E-01 -7.511288524E-01
 1.809045225E-01 -7.527307272E-01
 1.765410453E-01 -7.639690042E-01
 1.758794039E-01 -7.656704783E-01
 1.715159118E-01 -7.802451849E-01
 1.708542705E-01 -7.824621201E-01
 1.664907932E-01 -7.914430499E-01
 1.658291519E-01 -7.928074598E-01
 1.614656597E-01 -8.032077551E-01
 1.608040184E-01 -8.047822118E-01
 1.564405411E-01 -8.231264353E-01
 1.557788998E-01 -8.259153366E-01
 1.514154077E-01 -8.397064209E-01
 1.507537663E-01 -8.417968750E-01
 1.463902891E-01 -8.525604010E-01
 1.457286477E-01 -8.541953564E-01
 1.413651556E-01 -8.690723777E-01
 1.407035142E-01 -8.713338375E-01
 1.363400370E-01 -8.875808120E-01
 1.356783956E-01 -8.900423646E-01
 1.313149035E-01 -9.059296846E-01
 1.306532621E-01 -9.083443284E-01
 1.262897849E-01 -9.231228232E-01
 1.256281435E-01 -9.253644943E-01
 1.212646514E-01 -9.404683113E-01
 1.206030175E-01 -9.427631497E-01
 1.162395254E-01 -9.625837207E-01
 1.155778915E-01 -9.655898213E-01
 1.112143993E-01 -9.860679507E-01
 1.105527654E-01 -9.891766310E-01
 1.061892733E-01 -1.008194089E+00
 1.055276394E-01 -1.011080861E+00
 1.011641473E-01 -1.031336904E+00
 1.005025133E-01 -1.034412980E+00
 9.613902122E-02 -1.054484248E+00
 9.547738731E-02 -1.057532072E+00
 9.111389518E-02 -1.076828957E+00
 9.045226127E-02 -1.079758525E+00
 8.608876914E-02 -1.107649326E+00
 8.542713523E-02 -1.111883283E+00
 8.106364310E-02 -1.136112213E+00
 8.040200919E-02 -1.139792085E+00
 7.603851706E-02 -1.164241552E+00
 7.537688315E-02 -1.167955518E+00
 7.101339102E-02 -1.199677348E+00
 7.035175711E-02 -1.204493523E+00
 6.598826498E-02 -1.237859011E+00
 6.532663107E-02 -1.242924690E+00
 6.096314639E-02 -1.276009798E+00
 6.030150875E-02 -1.281034350E+00
 5.593802035E-02 -1.317650914E+00
 5.527638271E-02 -1.323212266E+00
 5.091289431E-02 -1.363122821E+00
 5.025125667E-02 -1.369184613E+00
 4.588776827E-02 -1.415569544E+00
 4.522613063E-02 -1.422615528E+00
 4.086264223E-02 -1.472403765E+00
 4.020100459E-02 -1.479967952E+00
 3.583751619E-02 -1.527682304E+00
 3.517587855E-02 -1.534933925E+00
 3.081239015E-02 -1.590725780E+00
 3.015075438E-02 -1.599206090E+00
 2.578726411E-02 -1.672293067E+00
 2.512562834E-02 -1.683402300E+00
 2.076213807E-02 -1.749287248E+00
 2.010050230E-02 -1.759310961E+00
 1.573701389E-02 -1.817266345E+00
 1.507537719E-02 -1.826097250E+00
 1.071188785E-02 -1.877771139E+00
 1.005025115E-02 -1.885668278E+00
 5.686762277E-03 -1.452494860E+00
 5.025125574E-03 -1.386810422E+00
 6.616365863E-04 -1.994622201E-01
 0.000000000E+00 -1.923681796E-02
 6.616365863E-04 1.018151343E-01
 5.025125574E-03 8.985366821E-01
 5.686762277E-03 9.092411995E-01
 1.005025115E-02 9.790437222E-01
 1.071188785E-02 9.689126015E-01
 1.507537719E-02 9.017358422E-01
 1.573701389E-02 8.896197081E-01
 2.010050230E-02 8.095710874E-01
 2.076213807E-02 7.987561226E-01
 2.512562834E-02 7.273535728E-01
 2.578726411E-02 7.183138132E-01
 3.015075438E-02 6.586617231E-01
 3.081239015E-02 6.505045295E-01
 3.517587855E-02 5.966838598E-01
 3.583751619E-02 5.894191861E-01
 4.020100459E-02 5.414916873E-01
 4.086264223E-02 5.352664590E-01
 4.522613063E-02 4.942089021E-01
 4.588776827E-02 4.887331128E-01
 5.025125667E-02 4.526186585E-01
 5.091289431E-02 4.476509392E-01
 5.527638271E-02 4.148849249E-01
 5.593802035E-02 4.104265869E-01
 6.030150875E-02 3.810274899E-01
 6.096314639E-02 3.770979643E-01
 6.532663107E-02 3.511860073E-01
 6.598826498E-02 3.477294743E-01
 7.035175711E-02 3.249372244E-01
 7.101339102E-02 3.216812909E-01
 7.537688315E-02 3.002162874E-01
 7.603851706E-02 2.970252931E-01
 8.040200919E-02 2.759979367E-01
 8.106364310E-02 2.731194496E-01
 8.542713523E-02 2.541501522E-01
 8.608876914E-02 2.518041730E-01
 9.045226127E-02 2.363402545E-01
 9.111389518E-02 2.337034196E-01
 9.547738731E-02 2.163154632E-01
 9.613902122E-02 2.140123099E-01
 1.005025133E-01 1.988351494E-01
 1.011641473E-01 1.967596859E-01
 1.055276394E-01 1.830846369E-01
 1.061892733E-01 1.811739802E-01
 1.105527654E-01 1.685699970E-01
 1.112143993E-01 1.669138372E-01
 1.155778915E-01 1.560152620E-01
 1.162395254E-01 1.545250565E-01
 1.206030175E-01 1.446822584E-01
 1.212646514E-01 1.429604739E-01
 1.256281435E-01 1.316315085E-01
 1.262897849E-01 1.300182939E-01
 1.306532621E-01 1.193703637E-01
 1.313149035E-01 1.179822236E-01
 1.356783956E-01 1.088537648E-01
 1.363400370E-01 1.076307297E-01
 1.407035142E-01 9.954788536E-02
 1.413651556E-01 9.837824851E-02
 1.457286477E-01 9.070040286E-02
 1.463902891E-01 8.925100416E-02
 1.507537663E-01 7.969128340E-02
 1.514154077E-01 7.855848968E-02
 1.557788998E-01 7.107383758E-02
 1.564405411E-01 7.062846422E-02
 1.608040184E-01 6.773325801E-02
 1.614656597E-01 6.652328372E-02
 1.658291519E-01 5.853054300E-02
 1.664907932E-01 5.722221360E-02
 1.708542705E-01 4.860121012E-02
 1.715159118E-01 4.805812240E-02
 1.758794039E-01 4.452175647E-02
 1.765410453E-01 4.358132929E-02
 1.809045225E-01 3.735454008E-02
 1.815661639E-01 3.649707139E-02
 1.859296411E-01 3.081811778E-02
 1.865912825E-01 3.007349186E-02
 1.909547746E-01 2.519915812E-02
 1.916164160E-01 2.449546382E-02
 1.959798932E-01 1.988511160E-02
 1.966415346E-01 1.914096437E-02
 2.010050267E-01 1.421455387E-02
 2.016666681E-01 1.411449164E-02
 2.060301453E-01 1.342701539E-02
 2.066917866E-01 1.277840603E-02
 2.110552788E-01 8.540146053E-03
 2.117169201E-01 7.271656301E-03
 2.160803974E-01 -1.045232057E-03
 2.167420387E-01 -1.277706935E-03
 2.211055309E-01 -2.809649566E-03
 2.217671722E-01 -3.335007466E-03
 2.261306494E-01 -6.813299842E-03
 2.267922908E-01 -7.752401289E-03
 2.311557829E-01 -1.396268047E-02
 2.318174243E-01 -1.348288544E-02
 2.361809015E-01 -1.033789199E-02
 2.368425429E-01 -1.066555548E-02
 2.412060350E-01 -1.281808876E-02
 2.418676764E-01 -1.384766866E-02
 2.462311536E-01 -2.060139179E-02
 2.468927950E-01 -2.126699686E-02
 2.512562871E-01 -2.560881898E-02
 2.519179285E-01 -2.630843967E-02
 2.562814057E-01 -3.091796488E-02
 2.569430470E-01 -2.995959856E-02
 2.613065243E-01 -2.363154851E-02
 2.619681656E-01 -2.374905162E-02
 2.663316727E-01 -2.452220209E-02
 2.669933140E-01 -2.562514693E-02
 2.713567913E-01 -3.290152922E-02
 2.720184326E-01 -3.340666369E-02
 2.763819098E-01 -3.673852980E-02
 2.770435512E-01 -3.712713346E-02
 2.814070284E-01 -3.968864679E-02
 2.820686698E-01 -3.998395056E-02
 2.864321470E-01 -4.193023965E-02
 2.870937884E-01 -4.225172475E-02
 2.914572954E-01 -4.436682537E-02
 2.921189368E-01 -4.470955953E-02
 2.964824140E-01 -4.696355760E-02
 2.971440554E-01 -4.725298658E-02
 3.015075326E-01 -4.915626720E-02
 3.021691740E-01 -4.939917102E-02
 3.065326512E-01 -5.099482834E-02
 3.071942925E-01 -5.119612068E-02
 3.115577996E-01 -5.251558870E-02
 3.122194409E-01 -5.269966647E-02
 3.165829182E-01 -5.390685052E-02
 3.172445595E-01 -5.406266451E-02
 3.216080368E-01 -5.508276075E-02
 3.222696781E-01 -5.520846695E-02
 3.266331553E-01 -5.603001639E-02
 3.272947967E-01 -5.613803864E-02
 3.316583037E-01 -5.685089156E-02
 3.323199451E-01 -5.716092139E-02
 3.366834223E-01 -5.919244140E-02
 3.373450637E-01 -5.944322795E-02
 3.417085409E-01 -6.107740104E-02
 3.423701823E-01 -6.115109101E-02
 3.467336595E-01 -6.163894758E-02
 3.473953009E-01 -6.168125570E-02
 3.517588079E-01 -6.197422370E-02
 3.524204493E-01 -6.201750040E-02
 3.567839265E-01 -6.232139468E-02
 3.574455678E-01 -6.231720001E-02
 3.618090451E-01 -6.229330599E-02
 3.624706864E-01 -6.254360080E-02
 3.668341637E-01 -6.419081986E-02
 3.674958050E-01 -6.430117041E-02
 3.718592823E-01 -6.501306593E-02
 3.725209236E-01 -6.500945240E-02
 3.768844306E-01 -6.496813148E-02
 3.775460720E-01 -6.498204172E-02
 3.819095492E-01 -6.507177651E-02
 3.825711906E-01 -6.528232992E-02
 3.869346678E-01 -6.665785611E-02
 3.875963092E-01 -6.673551351E-02
 3.919597864E-01 -6.724689901E-02
 3.926214278E-01 -6.725942343E-02
 3.969849348E-01 -6.735865772E-02
 3.976465762E-01 -6.750474870E-02
 4.020100534E-01 -6.847533584E-02
 4.026716948E-01 -6.845305860E-02
 4.070351720E-01 -6.828895956E-02
 4.076968133E-01 -6.824543327E-02
 4.120602906E-01 -6.794607639E-02
 4.127219319E-01 -6.803055853E-02
 4.170854390E-01 -6.857682019E-02
 4.177470803E-01 -6.858581305E-02
 4.221105576E-01 -6.864649802E-02
 4.227721989E-01 -6.861229241E-02
 4.271356761E-01 -6.840263307E-02
 4.277973175E-01 -6.845106930E-02
 4.321607947E-01 -6.876891851E-02
 4.328224361E-01 -6.874413788E-02
 4.371859431E-01 -6.856647879E-02
 4.378475845E-01 -6.857956201E-02
 4.422110617E-01 -6.866091490E-02
 4.428727031E-01 -6.870274991E-02
 4.472361803E-01 -6.897969544E-02
 4.478978217E-01 -6.887686998E-02
 4.522612989E-01 -6.820887327E-02
 4.529229403E-01 -6.821860373E-02
 4.572864175E-01 -6.827763468E-02
 4.579480588E-01 -6.821510196E-02
 4.623115659E-01 -6.779484451E-02
 4.629732072E-01 -6.782379001E-02
 4.673366845E-01 -6.800943613E-02
 4.679983258E-01 -6.799136847E-02
 4.723618031E-01 -6.788114458E-02
 4.730234444E-01 -6.784760952E-02
 4.773869216E-01 -6.762728095E-02
 4.780485630E-01 -6.762833148E-02
 4.824120700E-01 -6.762352586E-02
 4.830737114E-01 -6.762385368E-02
 4.874371886E-01 -6.762198359E-02
 4.880988300E-01 -6.752046198E-02
 4.924623072E-01 -6.685953587E-02
 4.931239486E-01 -6.682994962E-02
 4.974874258E-01 -6.664111465E-02
 4.981490672E-01 -6.655057520E-02
 5.025125742E-01 -6.594059616E-02
 5.031741858E-01 -6.589218229E-02
 5.075376630E-01 -6.556797773E-02
 5.081992745E-01 -6.558089703E-02
 5.125628114E-01 -6.568209082E-02
 5.132244229E-01 -6.561350077E-02
 5.175879598E-01 -6.515198946E-02
 5.182495713E-01 -6.509513408E-02
 5.226130486E-01 -6.471221894E-02
 5.232746601E-01 -6.466341019E-02
 5.276381969E-01 -6.434521079E-02
 5.282998085E-01 -6.425512582E-02
 5.326633453E-01 -6.366807222E-02
 5.333249569E-01 -6.359720975E-02
 5.376884341E-01 -6.312076747E-02
 5.383500457E-01 -6.306080520E-02
 5.427135825E-01 -6.266137958E-02
 5.433751941E-01 -6.258934736E-02
 5.477386713E-01 -6.212639064E-02
 5.484002829E-01 -6.206263602E-02
 5.527638197E-01 -6.163670123E-02
 5.534254313E-01 -6.156500801E-02
 5.577889681E-01 -6.108423695E-02
 5.584505796E-01 -6.096627563E-02
 5.628140569E-01 -6.019965187E-02
 5.634756684E-01 -6.012153253E-02
 5.678392053E-01 -5.960555002E-02
 5.685008168E-01 -5.955890939E-02
 5.728642941E-01 -5.923866108E-02
 5.735259056E-01 -5.916311592E-02
 5.778894424E-01 -5.867126212E-02
 5.785510540E-01 -5.855796114E-02
